track_name,artist,genre_tag,playcount,listeners,duration_ms,tags,tag_count,duration_min,duration_sec,log_playcount,log_listeners,engagement_ratio,avg_play_per_listener,popularity_score,duration_category,popularity_class,genre_encoded
Pop Track 1,Artist_pop_1,pop,3332179,3559921,221161,"pop, music",4,3.6860166666666667,221.161,15.019137302418399,15.085249192475823,0.9360258455100983,0.9360258455100983,0.3821892296257381,"Sedang
(2.5-4m)",Tinggi,7
Pop Track 2,Artist_pop_2,pop,6515772,2791472,231702,"pop, music",5,3.8617,231.702,15.689736410773728,14.84207997146654,2.3341698092727388,2.3341698092727388,0.7695308588561522,"Sedang
(2.5-4m)",Tinggi,7
Pop Track 3,Artist_pop_3,pop,4142929,2348354,105498,"pop, music",2,1.7583,105.498,15.236913824947695,14.669225641005948,1.76418343904563,1.76418343904563,0.4808316207537995,"Pendek
(<2.5m)",Tinggi,7
Pop Track 4,Artist_pop_4,pop,6425554,871625,234137,"pop, music",5,3.9022833333333335,234.137,15.675793566337862,13.67811571180503,7.371916395334696,7.371916395334696,0.7585542085412692,"Sedang
(2.5-4m)",Tinggi,7
Pop Track 5,Artist_pop_5,pop,5333118,2500515,215698,"pop, music",2,3.5949666666666666,215.698,15.489446803228406,14.732007668540879,2.132806988637545,2.132806988637545,0.6256396242743869,"Sedang
(2.5-4m)",Tinggi,7
Pop Track 6,Artist_pop_6,pop,4948021,3368210,189382,"pop, music",6,3.1563666666666665,189.382,15.414498458725536,15.029892300838078,1.4690353425008114,1.4690353425008114,0.5787856139182438,"Sedang
(2.5-4m)",Tinggi,7
Pop Track 7,Artist_pop_7,pop,4559901,3219995,213805,"pop, music",3,3.5634166666666665,213.805,15.332811690031559,14.984890675283795,1.416120082136748,1.416120082136748,0.5315638009739043,"Sedang
(2.5-4m)",Tinggi,7
Pop Track 8,Artist_pop_8,pop,5996981,2663623,198332,"pop, music",5,3.3055333333333334,198.332,15.606766900645392,14.795198159539927,2.2514367643481212,2.2514367643481212,0.7064105569927935,"Sedang
(2.5-4m)",Tinggi,7
Pop Track 9,Artist_pop_9,pop,6168788,2175813,255209,"pop, music",4,4.2534833333333335,255.209,15.635013104332394,14.592913405363346,2.8351632998041194,2.8351632998041194,0.7273139838106027,"Panjang
(4-6m)",Tinggi,7
Pop Track 10,Artist_pop_10,pop,5559678,3025429,225573,"pop, music",5,3.75955,225.573,15.531050930747154,14.922563788105231,1.8376488631368102,1.8376488631368102,0.6532047431568705,"Sedang
(2.5-4m)",Tinggi,7
