track_name,artist,genre_tag,playcount,listeners,duration_ms,tags,tag_count
Pop Track 1,Artist_pop_1,pop,3332179,3559921,221161,"pop, music",4
Pop Track 2,Artist_pop_2,pop,6515772,2791472,231702,"pop, music",5
Pop Track 3,Artist_pop_3,pop,4142929,2348354,105498,"pop, music",2
Pop Track 4,Artist_pop_4,pop,6425554,871625,234137,"pop, music",5
Pop Track 5,Artist_pop_5,pop,5333118,2500515,215698,"pop, music",2
Pop Track 6,Artist_pop_6,pop,4948021,3368210,189382,"pop, music",6
Pop Track 7,Artist_pop_7,pop,4559901,3219995,213805,"pop, music",3
Pop Track 8,Artist_pop_8,pop,5996981,2663623,198332,"pop, music",5
Pop Track 9,Artist_pop_9,pop,6168788,2175813,255209,"pop, music",4
Pop Track 10,Artist_pop_10,pop,5559678,3025429,225573,"pop, music",5
Pop Track 11,Artist_pop_11,pop,5313295,1338942,156872,"pop, music",3
Pop Track 12,Artist_pop_12,pop,5295291,3462192,245270,"pop, music",7
Pop Track 13,Artist_pop_13,pop,3486371,1705805,240948,"pop, music",3
Pop Track 14,Artist_pop_14,pop,4192787,3343059,226764,"pop, music",6
Pop Track 15,Artist_pop_15,pop,5486125,2873731,182923,"pop, music",4
Pop Track 16,Artist_pop_16,pop,5917514,3869302,173731,"pop, music",4
Pop Track 17,Artist_pop_17,pop,3741173,2947683,223250,"pop, music",3
Pop Track 18,Artist_pop_18,pop,6463317,3009544,179213,"pop, music",7
Pop Track 19,Artist_pop_19,pop,6769574,2373575,243391,"pop, music",2
Pop Track 20,Artist_pop_20,pop,5444842,3567664,206755,"pop, music",4
Pop Track 21,Artist_pop_21,pop,5542093,4748241,208566,"pop, music",2
Pop Track 22,Artist_pop_22,pop,7346965,2649746,223315,"pop, music",5
Pop Track 23,Artist_pop_23,pop,2871874,4265221,246141,"pop, music",6
Pop Track 24,Artist_pop_24,pop,5028500,1866340,217613,"pop, music",6
Pop Track 25,Artist_pop_25,pop,4681757,2833000,230057,"pop, music",7
Pop Track 26,Artist_pop_26,pop,6737279,1804125,200846,"pop, music",5
Pop Track 27,Artist_pop_27,pop,5145616,4193241,181917,"pop, music",2
Pop Track 28,Artist_pop_28,pop,4508506,1933797,169237,"pop, music",7
Pop Track 29,Artist_pop_29,pop,1017235,3585864,194179,"pop, music",5
Pop Track 30,Artist_pop_30,pop,4566294,2599854,189448,"pop, music",2
Pop Track 31,Artist_pop_31,pop,4005892,3106309,176159,"pop, music",3
Pop Track 32,Artist_pop_32,pop,3766265,2509920,228296,"pop, music",2
Pop Track 33,Artist_pop_33,pop,4337350,3167042,259480,"pop, music",7
Pop Track 34,Artist_pop_34,pop,2860281,3215245,163252,"pop, music",7
Pop Track 35,Artist_pop_35,pop,6150945,2128349,178986,"pop, music",7
Pop Track 36,Artist_pop_36,pop,6159711,4616417,153925,"pop, music",7
Pop Track 37,Artist_pop_37,pop,6827075,2869466,192287,"pop, music",4
Pop Track 38,Artist_pop_38,pop,5567339,4912549,244943,"pop, music",4
Pop Track 39,Artist_pop_39,pop,6331267,3839259,181188,"pop, music",2
Pop Track 40,Artist_pop_40,pop,4595099,2352895,271997,"pop, music",3
Pop Track 41,Artist_pop_41,pop,5722968,4152119,176496,"pop, music",7
Pop Track 42,Artist_pop_42,pop,6015779,2247345,239649,"pop, music",3
Pop Track 43,Artist_pop_43,pop,5019550,3617301,212512,"pop, music",4
Pop Track 44,Artist_pop_44,pop,5752394,2662883,176135,"pop, music",4
Pop Track 45,Artist_pop_45,pop,5782912,3538558,220019,"pop, music",5
Pop Track 46,Artist_pop_46,pop,5519672,3469648,243896,"pop, music",4
Pop Track 47,Artist_pop_47,pop,5850341,3088737,204280,"pop, music",4
Pop Track 48,Artist_pop_48,pop,2098144,2087888,236262,"pop, music",2
Pop Track 49,Artist_pop_49,pop,4992714,2875445,191498,"pop, music",4
Pop Track 50,Artist_pop_50,pop,3331253,4050362,285871,"pop, music",5
Pop Track 51,Artist_pop_51,pop,8410017,3392339,231584,"pop, music",7
Pop Track 52,Artist_pop_52,pop,2752556,4105544,200416,"pop, music",4
Pop Track 53,Artist_pop_53,pop,2095435,2423140,264577,"pop, music",2
Pop Track 54,Artist_pop_54,pop,6758043,3858933,175713,"pop, music",4
Pop Track 55,Artist_pop_55,pop,7219773,3635825,138669,"pop, music",7
Pop Track 56,Artist_pop_56,pop,4635298,3128085,239613,"pop, music",6
Pop Track 57,Artist_pop_57,pop,5504598,3298430,201301,"pop, music",2
Pop Track 58,Artist_pop_58,pop,4287113,2346440,189481,"pop, music",2
Pop Track 59,Artist_pop_59,pop,6644494,2922147,235404,"pop, music",3
Pop Track 60,Artist_pop_60,pop,3379698,2415456,168917,"pop, music",3
